"ctryName","ctryCode","iso2","year","internetSubPer100","internetUserPer100","internetServerPerMil","area","popDensity","telephonePer100","cellPer100","lifeExp","imr","gdppcPPP","pop","popUrbPct","unempYthMaleILO","unempYthTotILO","unempTotILO","lfpMale","lfpTot","secondaryEnroll","healthExpGDP","milExpGDP","secondExpPerStudent","homicidesPer100k","battleRelDeaths","milPersonnelOfLabor","migrantStockPctPop","refugeeAsylum","refugeeOrigin","icsrLow","icsrHigh","icsrMean","contig","dist","muslim.pop","muslimpct","fh_cl","fh_pr","fh_status","ccodecow","cname","fh_aor","fh_ep","fh_feb","fh_fog","fh_ipolity2","fh_pair","fh_polity2","fh_ppp","fh_rol","pctmusShia","shiapct","sunnipct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop0.14","pctpop15.24","pctpop25.54","pctpop55.64","pctpop65","n.attacks","n.kill","n.attacks.post11","n.kill.post11","religious.frac","ethnic.frac","language.frac","refugeesUnhcr"
"Afghanistan","AFG","AF",2014,0.0049097146,5.9,1.0229851987,652860,46.7966700365,0.3134656386,70.6613588506,60.9314146341,70.2,1883.7633205312,30551674,25.871,16.3999996185,17.5,8,81,49,54.3108406067,1.7168430892,6.3645343873,NA,6.5,8056,4.233012995,0.3200352196,16863,2556556,NA,NA,50,0,2285.35302734375,"29047000",99.8,6,6,3,700,"Afghanistan",5,3,6,2,"1.95861077308655",3,"",6,1,12.5,12.475,87.325,10,9,10,42,22.2,29.4,3.9,2.5,5412,13878,5412,13878,0.2717,0.7693,0.6141,16929
"Albania","ALB","AL",2014,5.75292813,60.1,23.7767057202,27400,105.7432846715,8.8615186034,116.15720813,77.5372439024,13.3,9960.9407258136,2897366,55.383,32,28.7000007629,16,74,62.9000015259,NA,2.8455264613,1.2956380503,NA,5,NA,0.6708151983,3.0588862902,93,10084,NA,NA,90,0,1694.97265625,"2601000",82.1,3,3,2,339,"Albania",8,8,13,6,"6.92157030105591",9,"",10,9,2.5,2.0525,80.0475,0,0.667,0,19.3,19.2,40,10.5,11.1,2,0,2,0,0.4719,0.2204,0.0399,321
"Algeria","DZA","DZ",2014,3.2646237162,16.5,1.9284229507,2381740,16.4619958518,7.9830251809,100.7877205464,71.0096585366,21.6,12892.9424926516,39208194,69.51,21,24,9.8000001907,76.1999969482,46.5,97.6072921753,4.9205610155,4.9514681193,NA,0.7,147,2.5516257766,0.65381965,94150,3662,NA,NA,200,0,3038.50146484375,"34780000",98.2,5,6,3,615,"Algeria",5,4,7,3,"2.78577065467834",7,"",4,5,0.5,0.491,97.709,8.611,9.333,10,28.4,17.4,42.8,6.2,5.2,668,1182,668,1182,0.0091,0.3394,0.4427,95965
"Angola","AGO","AO",2014,0.1037742009,19.1,4.969056331,1246700,17.222762493,1.0010889724,61.8732971125,51.8661707317,101.6,7488.0117598341,21471618,42.49,10.1000003815,10.6000003815,6.8000001907,77.8000030518,71.0999984741,31.5163898468,2.5323634103,4.9065355053,NA,10,NA,1.482759687,0.3344753453,23783,10297,0,0,0,0,5305.96875,"195000",1,5,6,3,540,"Angola",4,4,8,1,"2.78577065467834",3,"",6,4,0,0,1,0.556,0,6,43.2,20.5,29.3,4,2.9,3,6,3,6,0.6276,0.7867,0.787,43822
"Argentina","ARG","AR",2014,14.4375150406,59.9,54.2066358874,2736690,15.1446623476,23.3123260427,162.5274216632,76.1872926829,11.9,NA,41446246,91.452,17.2000007629,19.8999996185,7.5,81.8000030518,68.3000030518,107.2887573242,4.9097981705,0.7376565606,19.6394405365,5.5,NA,0.5533578951,3.5896491781,3362,388,0,0,0,0,12444.3740234375,"1000000",2.5,2,2,1,160,"Argentina",11,11,14,6,"8.57589054107666",13,"",14,11,7.5,0.1875,2.3125,0,9.333,0.667,24.9,15.7,38.9,9.1,11.4,11,0,11,0,0.2236,0.255,0.0618,4278
"Armenia","ARM","AM",2014,7.8755182986,46.3,41.2198391421,28470,104.550965929,19.4334679627,112.4206552114,74.5407560976,14,7526.8364191129,2976566,62.975,29.6000003815,33.0999984741,16.2000007629,75.8000030518,67.3000030518,NA,1.886065524,4.0955842908,17.7351398468,1.8,10,3.2624172851,10.9392420304,13732,12021,0,0,0,0,762.422790527344,"1000",0.1,4,5,2,371,"Armenia",6,5,8,3,"4.44009065628052",9,"",5,6,0.5,5e-04,0.0995,6.944,3.4,9,19.1,15.2,43.5,11.7,10.5,3,1,3,1,0.4576,0.1272,0.1291,13809
"Australia","AUS","AU",2014,25.0144018094,83,1351.7238436593,7682300,3.0107259545,44.3396230052,106.8434973672,82.1975609756,3.4,42834.0167597384,23129300,89.153,13,12.1999998093,5.6999998093,82.5999984741,76.5999984741,135.5354309082,5.9782603024,1.6322757445,17.9418907166,1.1,NA,0.465014901,21.3849526593,34503,28,100,250,175,0,13400.5654296875,"399000",1.9,1,1,1,900,"Australia",12,12,16,12,"10",15,"",15,15,7.5,0.1425,1.7575,0,2,4,18,13.3,41.8,11.8,15.1,8,3,8,3,0.8211,0.0929,0.3349,48062
"Austria","AUT","AT",2014,26.0737162226,80.6188,1271.6267042783,82409,102.8992343069,39.2459457726,156.2304116057,80.8902439024,3.2,44056.254416802,8479823,65.884,8.8999996185,9.1000003815,4.9000000954,81.5,76.0999984741,97.6903610229,8.3578960247,0.7538874569,30.545589447,0.9,NA,0.5086668926,15.6660852447,55598,10,100,150,125,0,2332.46557617188,"475000",5.7,1,1,1,305,"Austria",12,12,16,11,"10",15,"",15,15,0.5,0.0285,5.6715,1.389,5.6,9.333,13.6,11.6,42.9,12.7,19.2,14,1,14,1,0.4146,0.1068,0.1522,78343
"Azerbaijan","AZE","AZ",2014,17.0326831269,58.7,13.536201469,82658,113.9248590578,18.6739250984,107.613407242,70.6931463415,29.9,16593.1887600482,9416801,54.1,13.3000001907,14.8000001907,5.5,73.4000015259,70.6999969482,100.2785415649,1.159631247,4.680444027,NA,2.1,15,1.6925100595,2.9150687207,1380,10813,0,0,0,0,920.612731933594,"8795000",98.4,5,6,3,373,"Azerbaijan",2,1,4,2,"2.78577065467834",7,"",3,4,70,68.88,29.52,7.222,1.333,9.333,22.7,17.5,45.1,8.5,6.3,5,6,5,6,0.4899,0.2047,0.2054,1658
"Bahrain","BHR","BH",2014,13.1546175378,90,179.3154761905,760,1752.8565789474,21.8815001978,165.9088810671,76.6698780488,5.2,42444.2784449127,1332171,88.667,25.7000007629,27.8999996185,7.4000000954,88.4000015259,71.8000030518,95.5147476196,3.4204709208,3.7601432898,NA,0.5,NA,2.6336802501,25.201735819,294,275,NA,NA,12,0,994.048828125,"655000",81.2,6,6,3,692,"Bahrain",2,3,3,3,"1.95861077308655",6,"",2,1,70,56.84,24.36,3.889,6,4.667,19.7,15.9,56.2,5.5,2.7,83,8,83,8,0.5528,0.5021,0.4344,346
