"ctryCode","ctryName","lifeExp","icsrMean","contig","dist","internetUserPer100","migrantStockPctPop","lfpMale","unempYthTotILO","fh_cl","fh_pr","sunnipct","shiapct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop15.24","religious.frac","lnHomicidesPer100k","lnpopDensity","lnpop","lnarea","lngdppcPPP","lnrefugeesUnhcr","lnrefugeeOrigin","europe"
"AFG","Afghanistan",60.9314146340989,50,0,2285.35302734375,5.89999999999993,0.320035219599998,81,17.5,6,6,87.3249999999984,12.4750000000002,10,9,10,22.2000000000004,0.271700000000004,1.87180217690161,3.84581204732592,17.2349300374977,13.389117990173,7.54102682119974,9.73684247512738,14.7541715982102,0
"ALB","Albania",77.5372439024007,90,0,1694.97265625,60.099999999999,3.05888629020001,74,28.7000007628996,3,3,80.0475000000005,2.05250000000001,0,0.666999999999997,0,19.2000000000004,0.471900000000004,1.60943791243409,4.6610143139857,14.8793126063624,10.2182982923762,9.2064267965015,5.77455154554445,9.21870528830793,1
"DZA","Algeria",71.0096585365988,200,0,3038.50146484375,16.5,0.65381964999999,76.1999969481989,24,5,6,97.7090000000016,0.490999999999997,8.61099999999996,9.33299999999993,10,17.3999999999998,0.0091000000000001,-0.356674943938738,2.80105444256407,17.4843963135294,14.6833418709666,9.46443534704663,11.4717492410514,8.20576472523429,0
"AGO","Angola",51.8661707317004,0,0,5305.96875,19.1,0.334475345300005,77.8000030518011,10.6000003815001,5,6,1,0,0.555999999999998,0,6,20.5,0.627599999999995,2.30258509299407,2.84623190965232,16.8822425279845,14.0360106183329,8.92105858864675,10.6879140726958,9.23960786965659,0
"ARG","Argentina",76.1872926828997,0,0,12444.3740234375,59.900000000001,3.58964917809999,81.8000030518011,19.8999996185,2,2,2.3125,0.1875,0,9.33299999999993,0.666999999999997,15.7000000000003,0.223600000000003,1.7047480922384,2.71764814958562,17.5399078684964,14.822259718912,10.1631777183915,8.36147461641672,5.96100533962333,0
"ARM","Armenia",74.5407560976006,0,0,762.422790527344,46.3000000000005,10.9392420303999,75.8000030518011,33.0999984740995,4,5,0.0995000000000018,5e-04,6.94400000000015,3.40000000000006,9,15.2000000000003,0.45760000000001,0.587786664902118,4.64967466475114,14.9062808450235,10.2566061802719,8.92623010225065,9.53314824640331,9.39441039930427,1
"AUS","Australia",82.1975609755999,175,0,13400.5654296875,83,21.3849526593003,82.5999984741009,12.1999998092998,1,1,1.75749999999999,0.1425,0,2,4,13.2999999999998,0.821100000000001,0.0953101798043256,1.10218123057836,16.956610770023,15.8544295394553,10.6650878500022,10.7802679293146,3.33220451017528,0
"AUT","Austria",80.8902439023997,125,0,2332.46557617188,80.618799999998,15.6660852447002,81.5,9.10000038149999,1,1,5.67150000000007,0.0285000000000003,1.38899999999998,5.60000000000005,9.33299999999993,11.6000000000002,0.414600000000004,-0.105360515657825,4.63375020167435,15.9532001349089,11.3194499332342,10.6932226057761,11.2688646654006,2.30258509299407,1
"AZE","Azerbaijan",70.6931463415003,0,0,920.612731933594,58.699999999999,2.91506872070006,73.4000015258999,14.8000001907002,5,6,29.5200000000004,68.8799999999991,7.22199999999995,1.33300000000001,9.33299999999993,17.5,0.489899999999991,0.741937344729385,4.73553910000012,16.0580059922737,11.3224668922734,9.71674757448254,7.41397029019032,9.28850439294548,0
"BHR","Bahrain",76.6698780487994,12,0,994.048828125,90,25.2017358189997,88.4000015258988,27.8999996185003,6,6,24.3600000000003,56.8399999999986,3.88900000000003,6,4.66699999999999,15.8999999999997,0.552799999999997,-0.693147180559932,7.46900206694064,14.1023205002208,6.63331843328046,10.6559473992613,5.84932477994692,5.61677109766664,0
"BGD","Bangladesh",70.6933902438996,0,0,4580.39404296875,6.5,0.718174748500011,86.5999984741011,9.19999980929986,4,3,89.948,0.451999999999998,6.11099999999993,4.16699999999995,10,18.7999999999996,0.209000000000003,0.993251773010258,7.09257660240649,18.869173169867,11.7765965674607,7.95628327551277,12.3508437601578,9.19410935886582,0
