"ctryName","ctryCode","lifeExp","icsrMean","contig","dist","internetUserPer100","migrantStockPctPop","lfpMale","unempYthTotILO","fh_cl","fh_pr","sunnipct","shiapct","govt.reg.relig","govt.fav.relig","soc.reg.relig","pctpop15.24","religious.frac","lnHomicidesPer100k","lnpopDensity","lnpop","lnarea","lngdppcPPP","lnrefugeesUnhcr","lnrefugeeOrigin"
"Afghanistan","AFG",60.9314146341,50,0,2285.35302734375,5.9,0.3200352196,81,17.5,6,6,87.325,12.475,10,9,10,22.2,0.2717,1.87180217690159,3.84581204732586,17.234930037498,13.3891179901731,7.54102682119969,9.73684247512718,14.7541715982105
"Albania","ALB",77.5372439024,90,0,1694.97265625,60.1,3.0588862902,74,28.7000007629,3,3,80.0475,2.0525,0,0.667,0,19.2,0.4719,1.6094379124341,4.6610143139857,14.8793126063622,10.2182982923762,9.20642679650138,5.77455154554441,9.21870528830781
"Algeria","DZA",71.0096585366,200,0,3038.50146484375,16.5,0.65381965,76.1999969482,24,5,6,97.709,0.491,8.611,9.333,10,17.4,0.0091,-0.356674943938732,2.80105444256403,17.4843963135291,14.6833418709667,9.46443534704656,11.4717492410515,8.20576472523446
"Angola","AGO",51.8661707317,0,0,5305.96875,19.1,0.3344753453,77.8000030518,10.6000003815,5,6,1,0,0.556,0,6,20.5,0.6276,2.30258509299405,2.84623190965227,16.8822425279843,14.0360106183331,8.92105858864686,10.6879140726956,9.23960786965675
"Argentina","ARG",76.1872926829,0,0,12444.3740234375,59.9,3.5896491781,81.8000030518,19.8999996185,2,2,2.3125,0.1875,0,9.333,0.667,15.7,0.2236,1.70474809223843,2.71764814958557,17.539907868496,14.8222597189117,NA,8.36147461641682,5.96100533962327
"Armenia","ARM",74.5407560976,0,0,762.422790527344,46.3,10.9392420304,75.8000030518,33.0999984741,4,5,0.0995,5e-04,6.944,3.4,9,15.2,0.4576,0.587786664902119,4.64967466475114,14.9062808450237,10.2566061802721,8.9262301022506,9.53314824640334,9.39441039930425
"Australia","AUS",82.1975609756,175,0,13400.5654296875,83,21.3849526593,82.5999984741,12.1999998093,1,1,1.7575,0.1425,0,2,4,13.3,0.8211,0.0953101798043249,1.10218123057836,16.9566107700229,15.8544295394556,10.6650878500023,10.7802679293148,3.3322045101752
"Austria","AUT",80.8902439024,125,0,2332.46557617188,80.6188,15.6660852447,81.5,9.1000003815,1,1,5.6715,0.0285,1.389,5.6,9.333,11.6,0.4146,-0.105360515657826,4.63375020167432,15.9532001349087,11.3194499332341,10.6932226057759,11.2688646654006,2.30258509299405
"Azerbaijan","AZE",70.6931463415,0,0,920.612731933594,58.7,2.9150687207,73.4000015259,14.8000001907,5,6,29.52,68.88,7.222,1.333,9.333,17.5,0.4899,0.741937344729377,4.73553910000018,16.0580059922736,11.3224668922734,9.71674757448238,7.41397029019044,9.28850439294554
"Bahrain","BHR",76.6698780488,12,0,994.048828125,90,25.201735819,88.4000015259,27.8999996185,6,6,24.36,56.84,3.889,6,4.667,15.9,0.5528,-0.693147180559945,7.46900206694069,14.1023205002211,6.63331843328038,10.6559473992611,5.84932477994686,5.61677109766657
"Bangladesh","BGD",70.6933902439,0,0,4580.39404296875,6.5,0.7181747485,86.5999984741,9.1999998093,4,3,89.948,0.452,6.111,4.167,10,18.8,0.209,0.993251773010283,7.09257660240634,18.8691731698668,11.7765965674605,7.95628327551282,12.350843760158,9.19410935886576
