Country,Source (Ethnicity Data),Date (Ethnicity Data),Ethnic,Language,Religion
, , ,Source: see column 2. Date: see column 3.,Source: eb. Date: 2001,Source: eb. Date: 2001
Afghanistan,wdm,1995,0.7693,0.6141,0.2717
Albania,wdm,1989,0.2204,0.0399,0.4719
Algeria,eb,1992,0.3394,0.4427,0.0091
American Samoa,0,0,0,0.1733,0.6395
Andorra,eb,1997,0.7139,0.6848,0.2326
Angola,eb,1983,0.7867,0.787,0.6276
Antigua and Barbuda,eb,1994,0.1643,0.1063,0.684
Argentina,eb,1986,0.255,0.0618,0.2236
Armenia,eb,1989,0.1272,0.1291,0.4576
Aruba,0,0,0,0.3889,0.4107
Australia,eb,1986,0.0929,0.3349,0.8211
Austria,lev,1998,0.1068,0.1522,0.4146
Azerbaijan,eb,1995,0.2047,0.2054,0.4899
Bahamas,lev,1989,0.4228,0.1855,0.6815
Bahrain,eb,1991,0.5021,0.4344,0.5528
Bangladesh,eb,1997,0.0454,0.0925,0.209
Barbados,eb,1990,0.1423,0.0926,0.6934
Belarus,cia,2001,0.3222,0.4666,0.6116
Belgium,cia,2001,0.5554,0.5409,0.2127
Belize,eb,1991,0.7015,0.6303,0.5813
Benin,eb,1992,0.7872,0.7905,0.5544
Bermuda,0,0,0,0,0.7112
Bhutan,eb,1993,0.605,0.6056,0.3787
Bolivia,lev,1998,0.7396,0.224,0.2085
Bosnia and Herzegovina,eb,1991,0.63,0.6751,0.6851
Botswana,eb,1983,0.4102,0.411,0.5986
Brazil,eb,1995,0.5408,0.0468,0.6054
Brunei,wdm,1995,0.5416,0.3438,0.4404
Bulgaria,wdm,1992,0.4021,0.3031,0.5965
Burkina Faso,eb,1983,0.7377,0.7228,0.5798
Burundi,eb,1983,0.2951,0.2977,0.5158
Cambodia,eb,1994,0.2105,0.2104,0.0965
Cameroon,eb,1983,0.8635,0.8898,0.7338
Canada,eb,1991,0.7124,0.5772,0.6958
Cape Verde,eb,1986,0.4174,0,0.0766
Central African Republic,eb,1988,0.8295,0.8334,0.7916
Chad,eb,1993,0.862,0.8635,0.6411
Chile,eb,1992,0.1861,0.1871,0.3841
China,eb,1990,0.1538,0.1327,0.6643
Colombia,eb,1985,0.6014,0.0193,0.1478
Comoros,eb,1995,0,0.0103,0.0137
"Congo, Dem. Rep. (Zaire)",eb,1983,0.8747,0.8705,0.7021
Congo,eb,1983,0.8747,0.6871,0.6642
Costa Rica,eb,1993,0.2368,0.0489,0.241
Cote d'Ivoire,lev,1998,0.8204,0.7842,0.7551
Croatia,eb,1991,0.369,0.0763,0.4447
Cuba,eb,1994,0.5908,0,0.5059
Cyprus,eb,1992,0.0939,0.3962,0.3962
Czech Republic,eb,1991,0.3222,0.3233,0.6591
Denmark,eb,1996,0.0819,0.1049,0.2333
Djibouti,eb,1983,0.7962,0.6558,0.0435
Dominica,eb,1991,0.2003,0,0.4628
Dominican Republic,eb,1993,0.4294,0.0395,0.3118
East Timor,0,0,0,0.5261,0.4254
Ecuador,eb,1989,0.655,0.1308,0.1417
Egypt,lev,1998,0.1836,0.0237,0.1979
El Salvador,eb,1993,0.1978,0,0.3559
Equatorial Guinea ,lev,1998,0.3467,0.322,0.1195
Eritrea,lev,1998,0.6524,0.653,0.4253
Estonia,eb,1994,0.5062,0.4944,0.4985
Ethiopia,eb,1983,0.7235,0.8073,0.6249
Faroe Islands,0,0,0,0,0.3147
Fiji,eb,1996,0.5479,0.5479,0.5682
Finland,cia,2001,0.1315,0.1412,0.2531
France,census,1999,0.1032,0.1221,0.4029
French Guiana ,0,0,0,0.1154,0.4959
French Polynesia,0,0,0,0.6078,0.5813
Gabon,eb,1983,0.769,0.7821,0.6674
"Gambia, The ",eb,1993,0.7864,0.8076,0.097
Gaza Strip,0,0,0,0.0104,0.0342
Georgia,eb,1989,0.4923,0.4749,0.6543
Germany,eb,1997,0.1682,0.1642,0.6571
Ghana,eb,1983,0.6733,0.6731,0.7987
Greece,lev,1998,0.1576,0.03,0.153
Greenland,0,0,0,0.2188,0.4592
Grenada,eb,1991,0.2661,0,0.5898
Guadeloupe,0,0,0,0.0933,0.3069
Guam,0,0,0,0.732,0.4082
Guatemala,cia,2001,0.5122,0.4586,0.3753
Guinea,eb,1990,0.7389,0.7725,0.2649
