country,countrycode,icsr.date,icsr.low,icsr.high,icsr.mean
afghanistan,AFG,20131217,12,23,17.5
albania,ALB,20131217,9,140,74.5
algeria,DZA,20131217,68,123,95.5
australia,AUS,20131217,23,205,114
austria,AUT,20131217,1,60,30.5
bahrain,BHR,20131217,12,12,12
belgium,BEL,20131217,76,296,186
bosnia,BIH,20131217,18,60,39
bulgaria,BGR,20131217,1,1,1
canada,CAN,20131217,9,100,54.5
china,CHN,20131217,6,100,53
denmark,DNK,20131217,25,84,54.5
egypt,EGY,20131217,119,358,238.5
finland,FIN,20131217,4,20,12
france,FRA,20131217,63,412,237.5
germany,DEU,20131217,34,240,137
iran,IRN,20131217,3,3,3
iraq,IRQ,20131217,59,247,153
ireland,IRL,20131217,11,26,18.5
israel,ISR,20131217,15,20,17.5
italy,ITA,20131217,2,50,26
jordan,JOR,20131217,180,2089,1134.5
kazakhstan,KAZ,20131217,14,150,82
kosovo,KSV,20131217,4,150,77
kuwait,KWT,20131217,54,71,62.5
kyrgyzstan,KGZ,20131217,9,30,19.5
lebanon,LBN,20131217,65,890,477.5
libya,LBY,20131217,336,556,446
luxembourg,LUX,20131217,1,1,1
macedonia,MKD,20131217,3,20,11.5
mauritania,MRT,20131217,2,2,2
morocco,MAR,20131217,77,91,84
netherlands,NLD,20131217,29,152,90.5
norway,NOR,20131217,33,40,36.5
oman,OMN,20131217,1,1,1
pakistan,PAK,20131217,7,330,168.5
palestine,WBG,20131217,74,114,94
qatar,QAT,20131217,15,14,14.5
russia,RUS,20131217,45,609,216
saudi arabia,SAU,20131217,386,1016,701
serbia,SRB,20131217,3,3,3
somalia,SOM,20131217,5,68,36.5
spain,ESP,20131217,34,95,64.5
sudan,SDN,20131217,2,96,49
sweden,SWE,20131217,39,87,63
switzerland,CHE,20131217,1,1,1
tunisia,TUN,20131217,382,970,676
turkey,TUR,20131217,63,500,281.5
ukraine,UKR,20131217,50,50,50
united arab emirates,ARE,20131217,14,14,14
united kingdom,GBR,20131217,43,366,204.5
united states,USA,20131217,17,60,38.5
yemen,YEM,20131217,14,110,62
afghanistan,AFG,20150126,,,50
albania,ALB,20150126,,,90
algeria,DZA,20150126,,,200
australia,AUS,20150126,100,250,175
austria,AUT,20150126,100,150,125
bahrain,BHR,20150126,,,12
belgium,BEL,20150126,,,440
bosnia,BIH,20150126,,,330
canada,CAN,20150126,,,100
china,CHN,20150126,,,300
denmark,DNK,20150126,100,150,125
egypt,EGY,20150126,,,360
finland,FIN,20150126,50,70,60
france,FRA,20150126,,,1200
germany,DEU,20150126,500,600,550
iraq,IRQ,20150126,,,NA
ireland,IRL,20150126,,,30
israel,ISR,20150126,,,120
italy,ITA,20150126,,,80
jordan,JOR,20150126,,,1500
kazakhstan,KAZ,20150126,,,250
kosovo,KSV,20150126,100,150,125
kuwait,KWT,20150126,,,70
kyrgyzstan,KGZ,20150126,,,100
lebanon,LBN,20150126,,,900
libya,LBY,20150126,,,600
macedonia,MKD,20150126,,,12
morocco,MAR,20150126,,,1500
netherlands,NLD,20150126,200,250,225
new zealand,NZL,20150126,,,6
norway,NOR,20150126,,,60
pakistan,PAK,20150126,,,500
palestine,WBG,20150126,,,NA
qatar,QAT,20150126,,,15
russia,RUS,20150126,800,1500,1150
saudi arabia,SAU,20150126,1500,2500,2000
serbia,SRB,20150126,50,70,60
somalia,SOM,20150126,,,70
spain,ESP,20150126,50,100,75
sudan,SDN,20150126,,,100
sweden,SWE,20150126,150,180,165
switzerland,CHE,20150126,,,40
tajikistan,TJK,20150126,,,190
tunisia,TUN,20150126,1500,3000,2250
turkey,TUR,20150126,,,600
turkmenistan,TKM,20150126,,,360
ukraine,UKR,20150126,,,50
united arab emirates,ARE,20150126,,,15
united kingdom,GBR,20150126,500,600,550
united states,USA,20150126,,,100
uzbekistan,UZB,20150126,,,500
yemen,YEM,20150126,,,110
