Year,Country / territory of asylum/residence,Origin,Population type,Value
2013,Aruba,Colombia,Asylum-seekers,4
2013,Aruba,Colombia,Refugees (incl. refugee-like situations),1
2013,Aruba,Cuba,Asylum-seekers,1
2013,Afghanistan,Iran (Islamic Rep. of),Asylum-seekers,18
2013,Afghanistan,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),36
2013,Afghanistan,Iraq,Asylum-seekers,1
2013,Afghanistan,Iraq,Refugees (incl. refugee-like situations),1
2013,Afghanistan,Kyrgyzstan,Asylum-seekers,1
2013,Afghanistan,Nigeria,Asylum-seekers,0
2013,Afghanistan,Pakistan,Asylum-seekers,45
2013,Afghanistan,Pakistan,Refugees (incl. refugee-like situations),16825
2013,Afghanistan,Palestinian,Asylum-seekers,0
2013,Afghanistan,Palestinian,Refugees (incl. refugee-like situations),1
2013,Afghanistan,Tajikistan,Asylum-seekers,1
2013,Angola,Burundi,Asylum-seekers,44
2013,Angola,Burundi,Refugees (incl. refugee-like situations),18
2013,Angola,Burkina Faso,Asylum-seekers,0
2013,Angola,Central African Rep.,Asylum-seekers,33
2013,Angola,Central African Rep.,Refugees (incl. refugee-like situations),13
2013,Angola,Côte d'Ivoire,Asylum-seekers,4183
2013,Angola,Côte d'Ivoire,Refugees (incl. refugee-like situations),407
2013,Angola,Cameroon,Asylum-seekers,0
2013,Angola,Dem. Rep. of the Congo,Asylum-seekers,2300
2013,Angola,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),21104
2013,Angola,Congo,Asylum-seekers,75
2013,Angola,Congo,Refugees (incl. refugee-like situations),65
2013,Angola,Cuba,Refugees (incl. refugee-like situations),2
2013,Angola,Djibouti,Asylum-seekers,0
2013,Angola,Algeria,Asylum-seekers,1
2013,Angola,Algeria,Refugees (incl. refugee-like situations),1
2013,Angola,Eritrea,Asylum-seekers,1270
2013,Angola,Eritrea,Refugees (incl. refugee-like situations),5
2013,Angola,Western Sahara,Asylum-seekers,172
2013,Angola,Western Sahara,Refugees (incl. refugee-like situations),27
2013,Angola,Ethiopia,Asylum-seekers,77
2013,Angola,Guinea,Asylum-seekers,4562
2013,Angola,Guinea,Refugees (incl. refugee-like situations),164
2013,Angola,Gambia,Asylum-seekers,-1
2013,Angola,Guinea-Bissau,Asylum-seekers,167
2013,Angola,Guinea-Bissau,Refugees (incl. refugee-like situations),5
2013,Angola,Haiti,Asylum-seekers,1
2013,Angola,Haiti,Refugees (incl. refugee-like situations),2
2013,Angola,Iraq,Asylum-seekers,1
2013,Angola,Iraq,Refugees (incl. refugee-like situations),2
2013,Angola,Rep. of Korea,Asylum-seekers,0
2013,Angola,Liberia,Asylum-seekers,328
2013,Angola,Liberia,Refugees (incl. refugee-like situations),160
2013,Angola,Mauritania,Asylum-seekers,2257
2013,Angola,Mauritania,Refugees (incl. refugee-like situations),235
2013,Angola,Mauritius,Asylum-seekers,1
2013,Angola,Nigeria,Asylum-seekers,3
2013,Angola,Rwanda,Asylum-seekers,290
2013,Angola,Rwanda,Refugees (incl. refugee-like situations),458
2013,Angola,Sudan,Asylum-seekers,1555
2013,Angola,Sudan,Refugees (incl. refugee-like situations),281
2013,Angola,Senegal,Asylum-seekers,2
2013,Angola,Sierra Leone,Asylum-seekers,1065
2013,Angola,Sierra Leone,Refugees (incl. refugee-like situations),413
2013,Angola,Somalia,Asylum-seekers,1353
2013,Angola,Somalia,Refugees (incl. refugee-like situations),215
2013,Angola,Syrian Arab Rep.,Asylum-seekers,1
2013,Angola,Chad,Asylum-seekers,295
2013,Angola,Chad,Refugees (incl. refugee-like situations),195
2013,Angola,Togo,Asylum-seekers,1
2013,Angola,United Rep. of Tanzania,Refugees (incl. refugee-like situations),6
2013,Angola,Uganda,Asylum-seekers,2
2013,Angola,Uganda,Refugees (incl. refugee-like situations),2
2013,Angola,South Africa,Refugees (incl. refugee-like situations),2
2013,Angola,Zambia,Refugees (incl. refugee-like situations),1
2013,Angola,Zimbabwe,Asylum-seekers,1
2013,Albania,Bosnia and Herzegovina,Asylum-seekers,0
2013,Albania,Barbados,Asylum-seekers,0
2013,Albania,China,Asylum-seekers,0
2013,Albania,China,Refugees (incl. refugee-like situations),12
2013,Albania,Dem. Rep. of the Congo,Asylum-seekers,0
2013,Albania,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),5
2013,Albania,Egypt,Refugees (incl. refugee-like situations),3
2013,Albania,Gambia,Asylum-seekers,0
2013,Albania,Iran (Islamic Rep. of),Asylum-seekers,196
2013,Albania,Iraq,Refugees (incl. refugee-like situations),5
2013,Albania,Montenegro,Asylum-seekers,0
2013,Albania,Montenegro,Refugees (incl. refugee-like situations),2
2013,Albania,Peru,Asylum-seekers,0
2013,Albania,Peru,Refugees (incl. refugee-like situations),1
2013,Albania,Palestinian,Refugees (incl. refugee-like situations),4
2013,Albania,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,17
2013,Albania,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),54
2013,Albania,Syrian Arab Rep.,Asylum-seekers,15
2013,Albania,Turkey,Asylum-seekers,0
2013,Albania,Turkey,Refugees (incl. refugee-like situations),4
2013,Albania,Uzbekistan,Refugees (incl. refugee-like situations),3
2013,United Arab Emirates,Afghanistan,Asylum-seekers,1
2013,United Arab Emirates,Iran (Islamic Rep. of),Asylum-seekers,2
2013,United Arab Emirates,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),6
2013,United Arab Emirates,Iraq,Asylum-seekers,52
2013,United Arab Emirates,Iraq,Refugees (incl. refugee-like situations),540
2013,United Arab Emirates,Sri Lanka,Refugees (incl. refugee-like situations),11
2013,United Arab Emirates,Pakistan,Asylum-seekers,0
2013,United Arab Emirates,Palestinian,Asylum-seekers,0
2013,United Arab Emirates,Palestinian,Refugees (incl. refugee-like situations),1
2013,United Arab Emirates,Sudan,Asylum-seekers,0
2013,United Arab Emirates,Sudan,Refugees (incl. refugee-like situations),6
2013,United Arab Emirates,Somalia,Asylum-seekers,8
2013,United Arab Emirates,Somalia,Refugees (incl. refugee-like situations),23
2013,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,14
2013,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2013,Argentina,Afghanistan,Asylum-seekers,0
2013,Argentina,Afghanistan,Refugees (incl. refugee-like situations),1
2013,Argentina,Angola,Asylum-seekers,2
2013,Argentina,Angola,Refugees (incl. refugee-like situations),13
2013,Argentina,Albania,Refugees (incl. refugee-like situations),25
2013,Argentina,Armenia,Asylum-seekers,10
2013,Argentina,Armenia,Refugees (incl. refugee-like situations),122
2013,Argentina,Burundi,Asylum-seekers,1
2013,Argentina,Burundi,Refugees (incl. refugee-like situations),5
2013,Argentina,Benin,Refugees (incl. refugee-like situations),1
2013,Argentina,Bangladesh,Asylum-seekers,9
2013,Argentina,Bulgaria,Refugees (incl. refugee-like situations),2
2013,Argentina,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),6
2013,Argentina,Belarus,Refugees (incl. refugee-like situations),1
2013,Argentina,Bolivia (Plurinational State of),Asylum-seekers,0
2013,Argentina,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),3
2013,Argentina,Brazil,Asylum-seekers,0
2013,Argentina,Brazil,Refugees (incl. refugee-like situations),1
2013,Argentina,Central African Rep.,Asylum-seekers,0
2013,Argentina,Central African Rep.,Refugees (incl. refugee-like situations),2
2013,Argentina,Chile,Asylum-seekers,6
2013,Argentina,Chile,Refugees (incl. refugee-like situations),36
2013,Argentina,China,Asylum-seekers,0
2013,Argentina,China,Refugees (incl. refugee-like situations),2
2013,Argentina,Côte d'Ivoire,Asylum-seekers,1
2013,Argentina,Côte d'Ivoire,Refugees (incl. refugee-like situations),36
2013,Argentina,Cameroon,Asylum-seekers,8
2013,Argentina,Cameroon,Refugees (incl. refugee-like situations),11
2013,Argentina,Dem. Rep. of the Congo,Asylum-seekers,7
2013,Argentina,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),16
2013,Argentina,Congo,Asylum-seekers,0
2013,Argentina,Congo,Refugees (incl. refugee-like situations),9
2013,Argentina,Colombia,Asylum-seekers,302
2013,Argentina,Colombia,Refugees (incl. refugee-like situations),526
2013,Argentina,Costa Rica,Refugees (incl. refugee-like situations),5
2013,Argentina,Cuba,Asylum-seekers,93
2013,Argentina,Cuba,Refugees (incl. refugee-like situations),345
2013,Argentina,Germany,Asylum-seekers,3
2013,Argentina,Dominican Rep.,Asylum-seekers,74
2013,Argentina,Dominican Rep.,Refugees (incl. refugee-like situations),2
2013,Argentina,Algeria,Refugees (incl. refugee-like situations),41
2013,Argentina,Ecuador,Asylum-seekers,0
2013,Argentina,Ecuador,Refugees (incl. refugee-like situations),15
2013,Argentina,Egypt,Asylum-seekers,3
2013,Argentina,Egypt,Refugees (incl. refugee-like situations),5
2013,Argentina,Eritrea,Refugees (incl. refugee-like situations),2
2013,Argentina,Spain,Asylum-seekers,5
2013,Argentina,Ethiopia,Refugees (incl. refugee-like situations),3
2013,Argentina,United Kingdom,Asylum-seekers,0
2013,Argentina,Georgia,Refugees (incl. refugee-like situations),5
2013,Argentina,Ghana,Asylum-seekers,10
2013,Argentina,Ghana,Refugees (incl. refugee-like situations),62
2013,Argentina,Guinea,Asylum-seekers,8
2013,Argentina,Guinea,Refugees (incl. refugee-like situations),10
2013,Argentina,Gambia,Asylum-seekers,1
2013,Argentina,Gambia,Refugees (incl. refugee-like situations),2
2013,Argentina,Guinea-Bissau,Asylum-seekers,3
2013,Argentina,Guinea-Bissau,Refugees (incl. refugee-like situations),19
2013,Argentina,Guatemala,Asylum-seekers,1
2013,Argentina,Guatemala,Refugees (incl. refugee-like situations),1
2013,Argentina,Guyana,Asylum-seekers,2
2013,Argentina,Honduras,Asylum-seekers,7
2013,Argentina,Honduras,Refugees (incl. refugee-like situations),4
2013,Argentina,Croatia,Refugees (incl. refugee-like situations),2
2013,Argentina,Haiti,Asylum-seekers,47
2013,Argentina,Haiti,Refugees (incl. refugee-like situations),62
2013,Argentina,Hungary,Asylum-seekers,11
2013,Argentina,India,Asylum-seekers,37
2013,Argentina,India,Refugees (incl. refugee-like situations),32
2013,Argentina,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),18
2013,Argentina,Iraq,Asylum-seekers,1
2013,Argentina,Iraq,Refugees (incl. refugee-like situations),25
2013,Argentina,Italy,Refugees (incl. refugee-like situations),1
2013,Argentina,Jamaica,Asylum-seekers,0
2013,Argentina,Jordan,Asylum-seekers,0
2013,Argentina,Japan,Asylum-seekers,1
2013,Argentina,Kazakhstan,Asylum-seekers,0
2013,Argentina,Kazakhstan,Refugees (incl. refugee-like situations),22
2013,Argentina,Kenya,Refugees (incl. refugee-like situations),1
2013,Argentina,Kyrgyzstan,Refugees (incl. refugee-like situations),3
2013,Argentina,Lebanon,Asylum-seekers,0
2013,Argentina,Liberia,Asylum-seekers,0
2013,Argentina,Liberia,Refugees (incl. refugee-like situations),69
2013,Argentina,Libya,Asylum-seekers,2
2013,Argentina,Sri Lanka,Asylum-seekers,0
2013,Argentina,Sri Lanka,Refugees (incl. refugee-like situations),34
2013,Argentina,Morocco,Asylum-seekers,5
2013,Argentina,Morocco,Refugees (incl. refugee-like situations),2
2013,Argentina,Mexico,Asylum-seekers,3
2013,Argentina,Mexico,Refugees (incl. refugee-like situations),1
2013,Argentina,Mali,Asylum-seekers,2
2013,Argentina,Mali,Refugees (incl. refugee-like situations),19
2013,Argentina,Myanmar,Asylum-seekers,0
2013,Argentina,Mauritania,Refugees (incl. refugee-like situations),2
2013,Argentina,Nigeria,Asylum-seekers,20
2013,Argentina,Nigeria,Refugees (incl. refugee-like situations),50
2013,Argentina,Nicaragua,Refugees (incl. refugee-like situations),2
2013,Argentina,Nepal,Asylum-seekers,0
2013,Argentina,Pakistan,Asylum-seekers,5
2013,Argentina,Pakistan,Refugees (incl. refugee-like situations),43
2013,Argentina,Peru,Asylum-seekers,28
2013,Argentina,Peru,Refugees (incl. refugee-like situations),582
2013,Argentina,Paraguay,Asylum-seekers,14
2013,Argentina,Paraguay,Refugees (incl. refugee-like situations),3
2013,Argentina,Romania,Asylum-seekers,0
2013,Argentina,Romania,Refugees (incl. refugee-like situations),54
2013,Argentina,Russian Federation,Asylum-seekers,20
2013,Argentina,Russian Federation,Refugees (incl. refugee-like situations),61
2013,Argentina,Rwanda,Refugees (incl. refugee-like situations),1
2013,Argentina,Sudan,Asylum-seekers,1
2013,Argentina,Sudan,Refugees (incl. refugee-like situations),3
2013,Argentina,Senegal,Asylum-seekers,118
2013,Argentina,Senegal,Refugees (incl. refugee-like situations),66
2013,Argentina,Singapore,Asylum-seekers,1
2013,Argentina,Sierra Leone,Asylum-seekers,2
2013,Argentina,Sierra Leone,Refugees (incl. refugee-like situations),41
2013,Argentina,El Salvador,Asylum-seekers,6
2013,Argentina,El Salvador,Refugees (incl. refugee-like situations),13
2013,Argentina,Somalia,Asylum-seekers,0
2013,Argentina,Somalia,Refugees (incl. refugee-like situations),5
2013,Argentina,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),17
2013,Argentina,Slovakia,Asylum-seekers,1
2013,Argentina,Syrian Arab Rep.,Asylum-seekers,12
2013,Argentina,Syrian Arab Rep.,Refugees (incl. refugee-like situations),159
2013,Argentina,Chad,Refugees (incl. refugee-like situations),2
2013,Argentina,Togo,Asylum-seekers,1
2013,Argentina,Togo,Refugees (incl. refugee-like situations),2
2013,Argentina,Turkmenistan,Refugees (incl. refugee-like situations),2
2013,Argentina,Tunisia,Asylum-seekers,1
2013,Argentina,Tunisia,Refugees (incl. refugee-like situations),2
2013,Argentina,Turkey,Asylum-seekers,4
2013,Argentina,Turkey,Refugees (incl. refugee-like situations),12
2013,Argentina,United Rep. of Tanzania,Asylum-seekers,2
2013,Argentina,Ukraine,Asylum-seekers,7
2013,Argentina,Ukraine,Refugees (incl. refugee-like situations),24
2013,Argentina,Uruguay,Asylum-seekers,0
2013,Argentina,United States of America,Asylum-seekers,2
2013,Argentina,United States of America,Refugees (incl. refugee-like situations),4
2013,Argentina,Venezuela (Bolivarian Republic of),Asylum-seekers,4
2013,Argentina,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),1
2013,Argentina,Stateless,Asylum-seekers,0
2013,Argentina,Stateless,Refugees (incl. refugee-like situations),10
2013,Argentina,Various/Unknown,Asylum-seekers,1
2013,Argentina,Various/Unknown,Refugees (incl. refugee-like situations),550
2013,Argentina,Yemen,Asylum-seekers,0
2013,Argentina,Yemen,Refugees (incl. refugee-like situations),15
2013,Argentina,South Africa,Asylum-seekers,1
2013,Argentina,South Africa,Refugees (incl. refugee-like situations),3
2013,Argentina,Zimbabwe,Asylum-seekers,0
2013,Argentina,Zimbabwe,Refugees (incl. refugee-like situations),3
2013,Armenia,Azerbaijan,Refugees (incl. refugee-like situations),1607
2013,Armenia,Côte d'Ivoire,Asylum-seekers,4
2013,Armenia,Côte d'Ivoire,Refugees (incl. refugee-like situations),6
2013,Armenia,Cameroon,Asylum-seekers,1
2013,Armenia,Congo,Asylum-seekers,2
2013,Armenia,Ethiopia,Refugees (incl. refugee-like situations),1
2013,Armenia,Georgia,Refugees (incl. refugee-like situations),8
2013,Armenia,Ghana,Asylum-seekers,1
2013,Armenia,Guinea,Asylum-seekers,3
2013,Armenia,Iran (Islamic Rep. of),Asylum-seekers,13
2013,Armenia,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),27
2013,Armenia,Iraq,Asylum-seekers,5
2013,Armenia,Iraq,Refugees (incl. refugee-like situations),967
2013,Armenia,Kazakhstan,Refugees (incl. refugee-like situations),1
2013,Armenia,Lebanon,Asylum-seekers,3
2013,Armenia,Lebanon,Refugees (incl. refugee-like situations),17
2013,Armenia,Mali,Asylum-seekers,1
2013,Armenia,Palestinian,Asylum-seekers,1
2013,Armenia,Palestinian,Refugees (incl. refugee-like situations),5
2013,Armenia,Russian Federation,Refugees (incl. refugee-like situations),1
2013,Armenia,Syrian Arab Rep.,Asylum-seekers,42
2013,Armenia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),11090
2013,Armenia,Turkey,Asylum-seekers,1
2013,Armenia,Turkey,Refugees (incl. refugee-like situations),2
2013,Antigua and Barbuda,Syrian Arab Rep.,Asylum-seekers,1
2013,Australia,Afghanistan,Asylum-seekers,939
2013,Australia,Afghanistan,Refugees (incl. refugee-like situations),8368
2013,Australia,Angola,Refugees (incl. refugee-like situations),2
2013,Australia,Albania,Asylum-seekers,21
2013,Australia,Albania,Refugees (incl. refugee-like situations),66
2013,Australia,United Arab Emirates,Asylum-seekers,1
2013,Australia,United Arab Emirates,Refugees (incl. refugee-like situations),4
2013,Australia,Argentina,Refugees (incl. refugee-like situations),1
2013,Australia,Armenia,Asylum-seekers,1
2013,Australia,Armenia,Refugees (incl. refugee-like situations),4
2013,Australia,Australia,Asylum-seekers,1
2013,Australia,Azerbaijan,Asylum-seekers,2
2013,Australia,Azerbaijan,Refugees (incl. refugee-like situations),2
2013,Australia,Burundi,Asylum-seekers,9
2013,Australia,Burundi,Refugees (incl. refugee-like situations),26
2013,Australia,Belgium,Asylum-seekers,3
2013,Australia,Benin,Asylum-seekers,0
2013,Australia,Benin,Refugees (incl. refugee-like situations),1
2013,Australia,Bangladesh,Asylum-seekers,430
2013,Australia,Bangladesh,Refugees (incl. refugee-like situations),343
2013,Australia,Bulgaria,Refugees (incl. refugee-like situations),1
2013,Australia,Bahrain,Asylum-seekers,8
2013,Australia,Bahrain,Refugees (incl. refugee-like situations),82
2013,Australia,Bosnia and Herzegovina,Asylum-seekers,0
2013,Australia,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),1
2013,Australia,Belarus,Asylum-seekers,3
2013,Australia,Belarus,Refugees (incl. refugee-like situations),4
2013,Australia,Brazil,Asylum-seekers,9
2013,Australia,Brazil,Refugees (incl. refugee-like situations),3
