Time,Time Code,Country Name,Country Code,Fixed (wired) broadband subscriptions (per 100 people) [IT.NET.BBND.P2],Internet users (per 100 people) [IT.NET.USER.P2],Secure Internet servers (per 1 million people) [IT.NET.SECR.P6],Land area (sq. km) [AG.LND.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.MA.ZS]","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate) [SL.UEM.1524.ZS]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.MA.ZS]","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","Health expenditure, public (% of GDP) [SH.XPD.PUBL.ZS]",Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],"Government expenditure per student, secondary (% of GDP per capita) [SE.XPD.SECO.PC.ZS]","Intentional homicides (per 100,000 people) [VC.IHR.PSRC.P5]",Battle-related deaths (number of people) [VC.BTL.DETH],Armed forces personnel (% of total labor force) [MS.MIL.TOTL.TF.ZS],International migrant stock (% of population) [SM.POP.TOTL.ZS],Refugee population by country or territory of asylum [SM.POP.REFG],Refugee population by country or territory of origin [SM.POP.REFG.OR]
2010,YR2010,Afghanistan,AFG,0.0052820971,4,0.7042796114,652860,43.4975523083,0.0585256357,45.7781747411,59.600097561,75.3,1637.2971404244,28397812,24.689,18.7000007629,19.7999992371,8.5,81.5,49.0999984741,50.1814994812,1.7645569571,3.6680332594,NA,3.5,6241,4.3700541328,0.3200352196,6434,3054709
2010,YR2010,Albania,ALB,3.34965746,45,9.2687282378,27400,106.3146350365,10.5730438269,85.468246997,76.9785121951,14.8,9374.2497228436,2913021,52.163,27.2999992371,25.7999992371,14.1999998093,73.6999969482,62.7000007629,NA,2.4765688579,1.5931173844,NA,4,NA,1.1882351424,3.0588862902,76,14772
2010,YR2010,Algeria,DZA,2.4283095566,12.5,0.8364177362,2381740,15.5612367429,7.8858840207,88.4448754844,70.6166097561,23.5,12494.0670359067,37062820,67.526,19.1000003815,22.2000007629,10,75.0999984741,45.7000007629,95.3915100098,3.3003080141,3.5191406519,NA,0.7,236,2.724642571,0.65381965,94144,6689
2010,YR2010,American Samoa,ASM,NA,NA,35.9479473722,200,278.18,18.6929326335,NA,NA,NA,NA,55636,87.594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9921633475,NA,NA
2010,YR2010,Andorra,ADO,31.4503189701,81,1001.193730987,470,165.7595744681,48.9955973147,84.0681838602,NA,2.4,NA,77907,87.817,NA,NA,NA,NA,NA,NA,5.420642981,NA,12.1019601822,1.3,NA,NA,71.684187557,NA,6
2010,YR2010,Angola,AGO,0.1023063744,10,2.6599657355,1246700,15.6806962381,1.4380286298,48.1012090363,50.6541707317,109.6,7047.0519998811,19549124,40.097,10.3000001907,10.8000001907,6.9000000954,77.9000015259,70.8000030518,31.3139896393,2.0612554634,4.2482749959,NA,NA,NA,1.6451681622,0.3344753453,15155,134858
2010,YR2010,Antigua and Barbuda,ATG,8.1609024108,47,1100.5009572066,440,198.2568181818,41.637912258,192.5532768562,75.333902439,8.6,20567.3593439683,87233,26.239,NA,NA,NA,NA,NA,106.2201004028,3.8934905016,NA,NA,6.9,NA,NA,23.9909208671,NA,30
2010,YR2010,Argentina,ARG,9.9587647802,45,26.1057649058,2736690,14.7529402307,24.5557858895,141.3830219994,75.6635609756,13,NA,40374224,90.966,16.7999992371,19.5,7.6999998093,81.5,67.9000015259,90.2260818481,4.173183324,0.7480048737,19.9699707031,5.5,NA,0.5686099824,3.5896491781,3276,557
2010,YR2010,Armenia,ARM,2.8742066802,25,18.2217219122,28470,104.091886196,19.9865294234,130.4322327413,74.2196585366,16.2,6507.9144023801,2963496,63.58,32.2999992371,38.2999992371,19,76.0999984741,65.8000030518,NA,1.9227123958,4.2772060723,NA,1.5,NA,3.8268516413,10.9392420304,3296,17547
2010,YR2010,Aruba,ABW,18.9149285904,62,364.1839818105,180,564.4277777778,34.4892073585,129.7282400071,74.9520243902,NA,NA,101597,43.059,NA,NA,NA,NA,NA,95.8360519409,NA,NA,21.4236106873,3.9,NA,NA,33.7293424018,NA,NA
2010,YR2010,Australia,AUS,23.9907290004,76,1784.5568678002,7682300,2.8678650925,47.4235340705,100.4263074434,81.6951219512,4,41329.9436594056,22031800,88.733,11.8000001907,11.3999996185,5.1999998093,82.9000015259,76.5,130.84425354,6.0573071324,1.9534207437,19.7834796906,1,NA,0.4827311287,21.3849526593,21805,37
2010,YR2010,Austria,AUT,24.149230581,75.17,858.7412493765,82409,101.4865366647,40.4431175526,145.6928198827,80.5804878049,3.6,42860.9914320451,8363404,65.852,8.8000001907,8.8000001907,4.4000000954,80.8000030518,75.0999984741,98.5481033325,8.399989574,0.8259466904,29.600030899,0.6,NA,0.5971599778,15.6660852447,42630,10
